College,Hair,logIncome
TRUE,Other Color,4.675133402186334
TRUE,Other Color,3.586646125780147
TRUE,Other Color,4.814768784399599
FALSE,Other Color,5.0903549533076875
FALSE,Other Color,5.410971757789518
TRUE,Other Color,4.5806126558638445
FALSE,Brown,5.51624780545538
FALSE,Other Color,4.313854741603142
TRUE,Other Color,6.101522862758291
FALSE,Brown,6.481569537957485
TRUE,Brown,5.176365659754089
FALSE,Other Color,4.982054749572379
FALSE,Other Color,5.2965165006994335
FALSE,Other Color,5.656107402669783
TRUE,Other Color,5.844105539970999
TRUE,Other Color,5.693889790532452
FALSE,Brown,4.398937333918513
FALSE,Other Color,4.904357638767539
FALSE,Brown,3.6150017300866626
FALSE,Other Color,3.92629932508222
FALSE,Other Color,5.56183162451053
FALSE,Other Color,4.196901879613267
FALSE,Brown,6.41959310391796
FALSE,Brown,6.123971366941075
FALSE,Other Color,5.311764210645339
TRUE,Other Color,5.1781848610209975
TRUE,Other Color,4.970104796637039
TRUE,Other Color,5.563964840806355
TRUE,Other Color,5.094476339871147
TRUE,Other Color,7.540964711900124
TRUE,Other Color,2.8793967005370913
FALSE,Other Color,3.530759209307508
FALSE,Other Color,3.567631631964823
FALSE,Other Color,6.783550798074664
FALSE,Other Color,5.0734117018394524
TRUE,Other Color,4.879658469808077
FALSE,Brown,3.9970130853945105
FALSE,Other Color,5.411419338442325
FALSE,Brown,5.5300507428806736
FALSE,Brown,3.1809864439313165
FALSE,Brown,4.588003006042301
TRUE,Other Color,7.746320200321036
FALSE,Brown,6.305095484175212
TRUE,Other Color,4.2664098646100586
FALSE,Brown,6.245987118255767
FALSE,Other Color,4.343553684722521
TRUE,Other Color,4.142923147445582
FALSE,Other Color,4.182004203315157
TRUE,Other Color,5.692081611704295
TRUE,Other Color,4.686238574066432
TRUE,Other Color,4.644930265694334
FALSE,Other Color,4.769113216040065
FALSE,Brown,5.999680292743125
TRUE,Other Color,4.845399591355555
TRUE,Other Color,6.362105172984569
FALSE,Other Color,4.870290584169786
FALSE,Brown,4.1350812837741975
TRUE,Other Color,6.430576805482909
FALSE,Other Color,3.679238371100577
TRUE,Other Color,5.7000039149646105
FALSE,Other Color,3.6001990389252922
FALSE,Other Color,4.974594611855245
FALSE,Other Color,5.857600500480052
FALSE,Brown,5.447789333565777
FALSE,Other Color,7.059034890805245
TRUE,Other Color,4.5554388939807255
FALSE,Other Color,6.861633840678137
TRUE,Other Color,4.626823069387381
FALSE,Brown,5.805840900803231
FALSE,Brown,2.93675904396513
FALSE,Brown,3.7583098075678985
FALSE,Brown,7.403620621698067
FALSE,Brown,6.014527169720923
FALSE,Brown,6.110962050726403
FALSE,Brown,5.84707002926414
FALSE,Other Color,4.385528738116761
FALSE,Other Color,2.371093947182014
TRUE,Other Color,5.140870368520865
FALSE,Other Color,4.601780248430512
FALSE,Brown,5.555559049997425
FALSE,Brown,5.6833547017897885
FALSE,Other Color,4.454290664991752
FALSE,Brown,5.648699907803957
FALSE,Brown,7.581121659922172
FALSE,Other Color,5.538063270537389
FALSE,Brown,3.561593101536991
FALSE,Other Color,5.2132790482548375
FALSE,Other Color,4.193705962417996
FALSE,Other Color,3.9538210979086603
FALSE,Other Color,5.6591908985047965
FALSE,Brown,5.828784931181146
FALSE,Brown,4.117127965467
FALSE,Other Color,6.89500292282751
FALSE,Other Color,5.334422583167395
FALSE,Brown,6.642445702618991
FALSE,Brown,5.64654582697054
FALSE,Brown,5.386114770833076
TRUE,Other Color,5.7488169651745755
FALSE,Other Color,4.418063607276234
TRUE,Brown,5.515588093214871
FALSE,Other Color,4.401419222690417
TRUE,Other Color,7.124437155092189
FALSE,Other Color,4.0812374754737935
TRUE,Brown,5.245916970253429
TRUE,Other Color,5.675952716421709
FALSE,Other Color,4.785340694339368
TRUE,Other Color,4.256430767163371
FALSE,Other Color,5.499347870727697
FALSE,Other Color,4.701408128788126
FALSE,Brown,3.806207319650623
FALSE,Brown,5.6873762368622245
TRUE,Other Color,5.810174416678046
FALSE,Other Color,6.02324731376418
FALSE,Brown,5.548022336229823
FALSE,Brown,4.526527310183648
TRUE,Other Color,5.248000265191435
TRUE,Other Color,6.233160329923997
FALSE,Other Color,4.618473326922484
FALSE,Brown,4.039265645045666
TRUE,Other Color,3.9990949196690053
TRUE,Other Color,4.893317258315922
FALSE,Brown,4.16790163983404
FALSE,Other Color,5.33855978027275
FALSE,Brown,4.557383826112575
FALSE,Brown,5.576669817314986
TRUE,Other Color,4.770565527314901
TRUE,Other Color,5.251126462405787
TRUE,Brown,5.489033017791371
FALSE,Brown,5.2368882835976915
TRUE,Brown,4.1238702962771105
FALSE,Brown,4.398894742685407
TRUE,Other Color,3.825975192467486
FALSE,Brown,4.50916569354586
FALSE,Brown,4.852591907025379
FALSE,Brown,4.630561554583288
TRUE,Other Color,4.053532210017972
TRUE,Other Color,4.7956682293902295
FALSE,Other Color,4.887780796611628
FALSE,Other Color,3.259334510217255
FALSE,Other Color,5.476802128432324
FALSE,Other Color,6.0529280605512845
FALSE,Brown,6.604785468517946
FALSE,Brown,4.248355490772301
TRUE,Other Color,5.915570210821623
FALSE,Other Color,6.0652005287493544
FALSE,Brown,5.275514547398214
FALSE,Brown,5.6065099290589675
FALSE,Brown,6.085497890205234
TRUE,Other Color,5.027687888515653
FALSE,Other Color,4.228290096565837
FALSE,Brown,7.177095063309066
FALSE,Brown,4.6797068299628055
FALSE,Other Color,4.285428982384382
FALSE,Other Color,5.015558064964303
TRUE,Other Color,4.714535714504409
FALSE,Brown,4.201801848551485
FALSE,Brown,4.7921090436439915
FALSE,Other Color,4.618361974189487
FALSE,Other Color,4.294689556931232
FALSE,Other Color,5.226305494053485
TRUE,Other Color,4.08768524329815
FALSE,Other Color,5.113641248232509
FALSE,Other Color,4.840096879701677
FALSE,Brown,4.1538937957977415
FALSE,Other Color,2.8485430662327067
FALSE,Other Color,6.070386663154162
FALSE,Other Color,4.702054374211787
FALSE,Other Color,5.365020608256705
FALSE,Brown,3.6528197459798872
FALSE,Brown,5.821983658801177
FALSE,Brown,7.235768159760778
TRUE,Brown,4.8999343991738975
FALSE,Other Color,6.4368758791011285
FALSE,Other Color,4.663516777486896
FALSE,Other Color,4.246728687894647
FALSE,Other Color,5.689298067405639
TRUE,Other Color,5.785426371889789
TRUE,Other Color,6.004983848810504
FALSE,Other Color,6.238909122408543
TRUE,Other Color,5.72510893331281
TRUE,Other Color,5.928862400035334
FALSE,Other Color,4.874998510150882
FALSE,Other Color,4.857218644143013
FALSE,Brown,6.856889247935488
FALSE,Brown,5.196507514529179
FALSE,Brown,4.7623437785654685
FALSE,Other Color,2.663992960667555
TRUE,Other Color,3.788629427448835
FALSE,Brown,4.229661862484815
FALSE,Brown,4.2433492189774835
FALSE,Other Color,3.6651329673731228
FALSE,Brown,4.549103714003734
TRUE,Other Color,6.418434610068768
FALSE,Brown,6.2906277935591035
FALSE,Other Color,5.71672382535885
TRUE,Other Color,5.8520276988007405
FALSE,Brown,6.992778879173533
FALSE,Brown,6.155036653920282
FALSE,Brown,5.849382599872846
FALSE,Other Color,6.133193644348635
FALSE,Other Color,5.085667934270503
FALSE,Brown,5.2684174365708065
FALSE,Brown,4.959300068178441
FALSE,Brown,5.117258488228373
FALSE,Brown,5.16481296006637
FALSE,Brown,4.14227450576532
FALSE,Brown,5.002363513877297
TRUE,Other Color,6.417382552965486
FALSE,Other Color,2.8170176013382564
FALSE,Other Color,4.9124385283274625
FALSE,Other Color,6.30923986756074
FALSE,Other Color,5.320105479586639
FALSE,Brown,3.9187845858191532
FALSE,Brown,6.007993115471269
FALSE,Brown,3.1616373598431164
TRUE,Other Color,5.84809987493628
TRUE,Other Color,4.495065463055409
FALSE,Brown,4.11599332389022
FALSE,Other Color,5.804525441693529
FALSE,Other Color,4.730743433070874
TRUE,Other Color,5.113682067340255
FALSE,Other Color,4.611019532171642
FALSE,Brown,4.122439337378383
TRUE,Brown,5.850376830485098
TRUE,Other Color,6.114136917685363
FALSE,Brown,4.893191785552724
FALSE,Brown,3.141486563721323
FALSE,Other Color,5.524981801224969
FALSE,Other Color,4.5376341829492794
FALSE,Other Color,5.561110250570911
FALSE,Other Color,7.593227487348614
FALSE,Brown,4.290178375814936
FALSE,Other Color,4.021797386127185
FALSE,Other Color,6.309026895218523
FALSE,Other Color,7.51961231736133
FALSE,Other Color,5.249576446239786
FALSE,Brown,3.587188915126742
FALSE,Other Color,5.3885697149904415
FALSE,Brown,5.264310965596543
FALSE,Other Color,4.968054910344857
FALSE,Brown,5.39215823174351
FALSE,Brown,6.855234232646319
FALSE,Brown,4.984944350355232
FALSE,Brown,6.148198068719165
FALSE,Brown,5.9006884127096635
FALSE,Brown,5.88454264707345
TRUE,Other Color,5.1253547840060945
FALSE,Other Color,6.405204474446552
FALSE,Brown,6.806610653566841
FALSE,Other Color,4.915735932943745
FALSE,Other Color,6.279999168523883
FALSE,Other Color,4.625595829195472
FALSE,Other Color,4.341473352473223
TRUE,Other Color,4.413439119735449
FALSE,Other Color,5.700047225959475
FALSE,Other Color,3.731829253247601
FALSE,Other Color,4.425605304621968
FALSE,Other Color,5.759318725513109
FALSE,Brown,5.740504241241137
FALSE,Other Color,5.187887825863029
FALSE,Brown,5.2168425018530415
FALSE,Other Color,5.383216631076369
FALSE,Brown,3.9366044763309347
FALSE,Other Color,5.403677123740604
FALSE,Other Color,5.012282377417663
TRUE,Other Color,5.02310747171259
FALSE,Other Color,5.30520542845103
FALSE,Other Color,4.638620010248714
FALSE,Brown,6.6163741765468105
FALSE,Other Color,7.055389318174491
TRUE,Other Color,5.93321888201359
FALSE,Brown,4.726990070965709
FALSE,Other Color,5.836517689303308
FALSE,Brown,4.528404729062117
FALSE,Brown,4.862498147274717
FALSE,Other Color,5.290581147102335
FALSE,Brown,5.308375883264366
FALSE,Brown,2.9272682179266036
FALSE,Other Color,4.910800299580906
FALSE,Other Color,4.872085912569281
FALSE,Other Color,6.317830517266641
TRUE,Brown,5.611023543409009
TRUE,Other Color,4.28676837157566
FALSE,Other Color,3.890513999014722
FALSE,Brown,4.938613703865116
FALSE,Brown,6.55975641774568
TRUE,Other Color,4.638668102853577
TRUE,Other Color,5.425341740908706
FALSE,Other Color,4.488524250183324
FALSE,Brown,4.024769384619036
FALSE,Brown,5.557181034887738
FALSE,Brown,4.334810484922505
FALSE,Other Color,5.651046277822934
FALSE,Other Color,5.289986710738943
TRUE,Brown,5.969152085682535
FALSE,Other Color,4.820854777864834
TRUE,Other Color,5.485556702786723
TRUE,Brown,4.902027356984275
FALSE,Other Color,5.132205497243737
FALSE,Other Color,5.723676762907796
FALSE,Brown,5.644064309255138
TRUE,Brown,4.392003250464371
FALSE,Brown,7.377405966924442
FALSE,Brown,7.701467618912869
FALSE,Other Color,5.782200528348664
FALSE,Other Color,4.6579324867062954
TRUE,Other Color,7.96045236160011
TRUE,Brown,6.558143259234527
TRUE,Other Color,3.7612267811083484
